客户,租约编号,表编号,表类型,建筑面积,单价,上次读数,本次读数,数量,金额（元）,帐单开始时间,帐单结束时间,付款公司
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228462,ELECTRICITY_CHG,2397.36,1.1544,0,0,0,0,2/1/2019,2/28/2019,5252
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228447,ELECTRICITY_CHG,2397.36,1.1544,16322,16813.8,491.8,567.73,2/1/2019,2/28/2019,5252
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228630,ELECTRICITY_CHG,2397.36,1.1544,4682.54,5207.44,524.9,605.94,2/1/2019,2/28/2019,5252
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228655,ELECTRICITY_CHG,2397.36,1.1544,5057.13,5548.24,491.11,566.94,2/1/2019,2/28/2019,5252
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228470,ELECTRICITY_CHG,2397.36,1.1544,10413.3,10604.8,191.5,221.07,2/1/2019,2/28/2019,5252
中银三星人寿保险有限公司天津分公司,TJMT00086,NSE228446,ELECTRICITY_CHG,2397.36,1.1544,6227.58,6954.56,726.98,839.23,2/1/2019,2/28/2019,5252
天津爱迪公学教育信息咨询有限公司,TJMT00097,NSE228643,ELECTRICITY_CHG,374.69,1.1544,21506,22160.6,654.6,755.67,2/1/2019,2/28/2019,5252
戴德梁行房地产顾问（天津）有限公司,TJMT00099,NSE228641,ELECTRICITY_CHG,120.45,1.1544,32903.7,34679.6,1775.9,2050.1,2/1/2019,2/28/2019,5252
深圳前海世德资本管理有限公司,TJMT00103,NSE228661,ELECTRICITY_CHG,390.85,1.1544,22989.8,24343.4,1353.6,1562.6,2/1/2019,2/28/2019,5252
广州华艺国际拍卖有限公司,TJMT00104,NSE228592,ELECTRICITY_CHG,147.42,1.1544,666.9,757.27,90.37,104.32,2/1/2019,2/28/2019,5252
阳光城（天津）企业管理有限公司,TJMT00106,NSE228781,ELECTRICITY_CHG,842.93,1.1544,7244.2,8105.53,861.33,994.32,2/1/2019,2/28/2019,5252
阳光城（天津）企业管理有限公司,TJMT00106,NSE228814,ELECTRICITY_CHG,842.93,1.1544,18.5,18.5,0,0,2/1/2019,2/28/2019,5252
明亚保险经纪股份有限公司,TJMT00107,NSE228638,ELECTRICITY_CHG,429.02,1.1544,5195.01,5978.99,783.98,905.03,2/1/2019,2/28/2019,5252
天津悦享源生商贸有限公司,TJMT00108,NSE228432,ELECTRICITY_CHG,145.63,1.1544,857.97,907.36,49.39,57.02,2/1/2019,2/28/2019,5252
太平人寿保险有限公司天津分公司,TJMT00098,NSE228786,ELECTRICITY_CHG,4885.52,1.1544,1194.06,1376.22,182.16,210.29,2/1/2019,2/28/2019,5252
